fold,prediction,reference
1,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,يظهر الإسهال أيضًا عند بعض المصابين.
1,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,يشترك فيروس سارس كوف-2 المستجد في خصائصه مع فيروسات كورونا ذات الصلة الموجودة في الطبيعة.
1,قبل إعطائك بابال آر تي اس، يجب أن يعرف الطبيب عن أي حالات طبية قد تكون تعاني منها.,قبل إعطائك بابال آر تي اس، يحتاج طبيبك إلى معرفة أي حالات طبية قد تكون لديك.
1,ستكون الجرعة، التي تم تعديلها حسب حالتك، عموما بين 150 ملجم و 600 ملجم يومياً.,الجرعة التي تم تعديلها لك بناءً على حالتك، ستتراوح عادة بين 150 ملجم  و 600 ملجم يومياً.
1,هذه التعليمات شائعة للرعاية بعد الجراحة، ووفقا لاحتياجاتك، قد يعطيك طبيبك تعليمات أخرى.,فيما يلي إرشادات شائعة بشأن الرعاية بعد الجراحة، وربما يعطيك طبيبك المعالج إرشادات أخرى وفقًا لاحتياجاتك.
1,أظهرت تقييمات للأدب الحالي عدم وجود تجربة سريرية للكشف عن التفاوتات في الاستجابة بين المرضى كبار السن والصغار.,بالرجوع إلى المراجع الطبية الحالية، لم يتم الكشف عن أي تجربة إكلينيكية توضح وجود اختلافات في الاستجابة بين المرضى المسنين والمرضى الأصغر سنًا.
1,بعد الفحص الطبي، قد تخضع لفحوصات دم.,قد يكون هناك حاجة بعد إجراء الفحص البدني إلى إجراء اختبارات الدم.
1,الشراب:,الشراب :
1,تتناول بيكوبريب قبل الجراحة التي تشمل الأمعاء,تأخذ بيكوبريب قبل عملية جراحية ذات علاقة بالأمعاء.
1,اختبار للتحقق من داخل القولون,اختبار للنظر داخل القولون
1,الرد الفعلي الحسسي الخطير تجاه مِكستارد أو أحد مكوناته (يسمى رد الفعل التحسسي المُنظمي) هو أحد الآثار الجانبية النادرة جداً، ولكنه قد يُهدد الحياة.,التفاعل التحسسي الخطير لدواء مِكستارد أو أحد مكوناته (يسمى التفاعل التحسسي الجهازي) هو من الأعراض الجانبية النادرة جداً، ولكن قد يكون مهدداً للحياة.
1,إذا أصبت بأي من هذه الأعراض، يرجى إخبار الطبيب فوراً.,إذا أصُبت بأي عرض من هذه الأعراض، فأخبر الطبيب على الفور.
1,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,إنها فيروسات مغلقة مع جينوم حمض نووي ريبوزي مفرد السلسلة موجب الاتجاه وقفيصة منواة ذات تناظر حلزوني.
1,تناول الأطعمة الرخوة,تناول الأطعمة غير الصلبة
1,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,قد يمتلك سارس-كوف-2 خصائص مماثلة.
1,التهاب الرئتين.,التهاب الرئتين.
1,ستحتاج إلى حقنتين Fleet شرجيتين لتفريغ القولون قبل الفحص.,سوف تحتاج إلى حقنتين Fleet شرجيتين لتفريغ القولون قبل الاختبار.
1,التهاب معقد في البطن,العدوى المعقدة في البطن
1,يجد معظم الأشخاص الذين يتناولون هذا الدواء أنه لا يسبب أي مشاكل.,معظم المرضى الذين إستخدموا هذا الدواء وجدوا أنه لا يسبب مشاكل.
1,للمساعدة على تقليل خطر فقدان البصر:,للمساعدة على تقليل مخاطر فقدان البصر:
1,إذا كنت تعاني من أي من هذه الأعراض أو أصبت بها لأول مرة أثناء تناول مارفيلون، اتصل بطبيبك في أقرب وقت ممكن.,إذا كنتِ تعانين من أيّ مما ذكر أعلاه، أو تعرضت لها للمرّة ألأولى أثناء تناولكِ مارفيلون، راجعي طبيبك في أقرب وقت ممكن.
1,يشير تاريخ انتهاء الصلاحية إلى اليوم الأخير من ذلك الشهر.,یُشیر تاریخ انتھاء الصلاحیة إلى الیوم الأخیر من ذلك الشھر.
1,علمي طفلك أن يغطي أنفه وفمه بمنشفة أو منفقه عند العطس أو السعال.,يجب أن يتعلم الطفل أن يغطي أنفه وفمه باستخدام منديل أو حتى في كمه عند العطس أو السعال.
1,لا تقم بالقيادة أو تشغيل الآلات إذا كنت لا تشعر بأنك على ما يرام.,يفضل عدم قيادة السيارات أو استخدام أي آلات إذا كنت لا تشعر بأنك في صحة جيدة.
1,ومع ذلك، استمر في تناول مَيكوفينوليت حتى تراه أو تراه.,ومع ذلك، يجب أن تستمري في تناول مَيكوفينوليت إلى أن تعرضي نفسك على الطبيب/ الطبيبة.
1,يمكن أن يستغرق ظهور أي أعراض من ساعات قليلة إلى أيام.,قد يستغرق ظهور أية علامات مدة تتراوح من ساعات قليلة إلى أيام.
1,المكونات الأخرى التي يحتوي عليها:,المكونات الأخرى هي:
1,لا تضع جرعتين في نفس الوقت.,لا تضع جرعتين في نفس الوقت.
1,الأدوية الأخرى و محلول كلوريد الصوديوم المُخصص للتسريب الوريدي بتركيز 0.9 %,أدوية أخرى و ۰٫۹ ٪ محلول تسريب كلوريد الصوديوم في الوريد
1,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,تكيفت جميع فيروسات كورونا البشرية الأربعة هذه المكتسبة من المجتمع بشكل جيد مع البشر وبشكل عام إن احتمالية أن تتحور لتسبب أمراضًا تتسم بارتفاع معدلات انتشارها قليلة، إلا أن المصادفة حدثت لأسباب غير معروفة كما في الحالة النادرة للنوع الفرعي الأكثر شراسة من فيروس كورونا البشري-NL63، الذي تم الإبلاغ حديثًا عن أنه يسبب عدوى شديدة للجهاز التنفسي السفلي في الصين.
1,الكورتيزونات (الكورتيزون)، الكربينوكسولون أو المُليّنات، حيث أنها قد تزيد من فقد البوتاسيوم، مما قد يؤدي إلى نقص البوتاسيوم.,الهورمونات القشرانيّة السكّرية (كورتيزون)، الكاربينوكسولون أو المليّنات قد تزيد من خسارة البوتاسيوم مما قد يؤدّي إلى نقص في البوتاسيوم.
1,إن بيكوبريب لا يؤثر على القدرة على القيادة واستخدام الآلات.,ليس لبيكوبريب أي تأثير على القدرة على القيادة واستخدام الآلات.
1,تناول أوميرال مع الطعام والشراب,تناول أوميرال مع الطعام والشراب
1,يمكن إجراء هذه الفحوصات لفحص عينيك:,ويمكن إجراء الاختبارات الآتية للتأكد من سلامة العينين:
1,نزيف من الأمعاء - قد تتضمن العلامات وجود دم في البراز أو لون البراز أكثر داكنًا,نزف في الأمعاء – قد تتضمّن العوارض وجود دم في البراز أو لون براز أكثر قتامة
1,نادرة جداً (قد تؤثر على ما يصل إلى مريض واحد من بين كل 10000 مريض تم علاجهم):,النادرة جداً (قد تؤثر على ١ من كل 10.000 شخص على الأكثر):
2,إذا كنت تتناول إريثرومايسين مع 'الستاتينات' مثل سيمفاستاتين أو لوفاستاتين (التي تستخدم لخفض الكوليسترول) حيث قد تحدث آثار جانبية خطيرة.,"يتم اخذ الايرثرومايسين مع ""الستاتين"" مثل سيمفاستاتين أو لوفاستاتين (التي تستخدم لخفض نسبة الكوليسترول) يمكن لآثار جانبية خطيرة أن تحدث"
2,يُقاطِع المشيمة وقد يؤدي إلى تثبيط الوظائف الحيوية للجنين حديثي الولادة.,فهو يعبر المشيمة وقد يتسبب في تثبيط الوظائف الحيوية لدى حديثي الولادة.
2,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,ارتفعت مستويات إنزيمات الكبد والعضلات والميوغلوبين في دم بعض المرضى، وتزايد البروتين المتفاعل C ومعدل تثقُّل الكُريَّات الحمر في دم أغلب المرضى.
2,إذا أصبحت أي من هذه الأعراض خطيرة، أو إذا لاحظت أي آثار جانبية غير مدرجة في هذه النشرة، الرجاء أن تخبر طبيبك أو الصيدلي.,يرجى مراجعة طبيبك أو الصيدلي إذا ساءت أية من هذه الآثار الجانبية أو لاحظت ظهور أية آثار جانبية غير مدرجة في هذه النشرة.
2,بلع الأقراص كاملة مع نصف كوب من الماء.,ابتلع القرص كاملاً مع نصف كوب من الماء.
2,اغسل من رقبتك إلى الخصر بهذا الصابون في الليلة السابقة لإجراء الجراحة ثم غسل عينيك صباح يوم الجراحة.,يُرجى الغسل من رقبتك إلى خصرك بهذا الصابون في الليلة السابقة للجراحة ثم مرة أخرى في صباح يوم الجراحة.
2,الآثار الجانبية الشائعة (<1/10 و ≥1/100):,أعراض جانبية شائعة (<1/ 10 و ≥1/100):
2,أقراص أولازين المغلفة ٥ ملجم:,أقراص أولازين المغلفة 5 ملجم:
2,ألم عضلي,آلام العضلات.
2,أذكر طبيبك إذا كان لديك تاريخ من ردود الفعل التحسسية حيث قد تحتاج إلى مراقبة أكثر دقة.,قم بتذكير طبيبك إذا كان لديك تاريخ مرضي من الإصابة بتفاعلات أرجية ، حيث قد يستلزم مراقبة حالتك بعناية.
2,ارتفاع درجة حرارة الجسم (فرط الحرارة),ارتفاع درجة حرارة الجسم (فرط الحرارة)
2,يجب توخي الحذر عند استخدامه أثناء الحمل، وخاصة أثناء فترة الحمل المتأخرة أو قبل الولادة مباشرة، حيث تم الإبلاغ عن الآثار التالية في الأطفال حديثي الولادة:,ينبغي توخي الحذر عند استخدامها أثناء الحمل، وخاصة خلال فترة الحمل المتأخرة أو قبل الولادة مباشرة منذ أن تم الإبلاغ عن الآثار التالية في الأطفال حديثي الولادة:
2,يمكن للأطفال الذين تزيد أعمارهم عن ٤ سنوات أن يتناولوا أوميرال.,الأطفال الذين تزيد أعمارهم عن 4 سنوات يمكن أن يأخذوا أوميرال.
2,وتشمل هذه:,والتي تتضمن:
2,تجنب إجهاد العين.,تجنب إجهاد العينين.
2,يرجى قراءة التعليمات بعناية واتباعها خطوة بخطوة.,يُرجى قراءة التعليمات بعناية واتباعها خطوة بخطوة.
2,الحساسية تجاه الذرة,الحساسية للذرة
2,يتم وضع محلول اليود على عنق الرحم لتسهيل رؤية الخلايا غير الطبيعية.,حيث سيوضع محلول اليود على عنق الرحم لتسهيل رؤية الخلايا غير الطبيعية.
2,إذا كان لديك أي أسئلة إضافية حول استخدام هذا الدواء اسأل طبيبك أو الصيدلي,إذا كان لديك أي أسئلة أخرى عن استخدام هذا المنتج إسأل طبيبك أو الصيدلي
2,الأدوية الأخرى وبروستين إي ۲ جل مهبلي,التداخلات الدوائية من أخذ هذا المستحضر مع أي أدوية أخرى أو أعشاب أو مكملات غذائية
2,لا يؤثر أقراص بنتاسا 1غم ذات تحرر مراقب على القدرة على القيادة واستخدام الآلات.,لا يؤثر استخدام أقراص بنتاسا 1غم ذات تحرر مراقب على القدرة على القيادة واستخدام الآلات.
2,إذا قمت بابتلاع قطرات العين بنتوليت عن طريق الخطأ,في حال ابتلاع قطرات بنتوليت بالخطأ:
2,إذا لم يكن كذلك، فتحدث إلى طبيبك.,وإذا لم يكن الأمر كذلك، فيرجى التحدث مع طبيبك.
2,10 ملجم المادة الحافظة:,10 مجم المادة الحافظة:
2,شركة مصنع الأدوية بالقصيم المملكة العربية السعودية للصناعات الدوائية والمستلزمات الطبية المملكة العربية السعودية,الدوائية مصنع الأدوية بالقصيم الشركة السعودية للصناعات الدوائية والمستلزمات الطبية المملكة العربية السعودية
2,ما يحتوي لورين:,محتویات لورین:
2,لا ينبغي استعمال لجام من قبل الرجال دون سن 18 عاماً أو الرجال الذين هم أكبر من 65 عاماً.,لا يجب استخدام لجام من قبل الرجال الذين تقل أعمارهم عن 18 سنة ولا من قبل الرجال الذين تزيد أعمارهم أو تساوى 65 سنة.
2,إن كان لديك عيون من لون مختلط (أزرق-بني، رمادي-بني، أصفر-بني أو أخضر-بني)، فمن المرجح أن ترى هذا التغير أكثر مما إذا كان لديك عيون من لون واحد (أزرق، رمادي، أخضر أو بني).,إذا كنت تمتلك أعين ذات ألوان مختلطة (أزرق- بني، رمادي- بني، أصفر- بني أو أخضر- بني). من المحتمل أن تلاحظ تلك التغيرات بشكل أكبر مما إذا كنت تمتلك أعين ذات لون واحد (أزرق، رمادي، أخضر أو بني).
2,يشمل ذلك الواقي الذكري أو الجوارب الأنفية.,وهذا يشمل الواقي أو الأغشية الحاجزة.
2,تحدث هذه الآثار الجانبية عادة في الأطفال والمراهقين الذين تلقوا ميثوتريكسات بالتزامن مع دواء للأورام (سيترابين).,حدثت هذه الآثار الجانبية عادة في الأطفال والمراهقين الذين تلقوا عقار ميثوتريكسات بمصاحبة أحد علاجات الأورام (سيتارابين).
2,لا تستخدم جرعة مضاعفة لتعويض الجرعة المنسية.,لا تستخدم جرعة مضاعفة لتعویض الجرعة المنسیة.
2,التهاب في المخ يسمى التهاب السحايا غير البكتيري.,"التهاب الدماغ يعرف ""بالتهاب السحايا غير البكتيري""."
2,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,لمتابعة العبء الناتج عن نشاط حالة مشتبه في إصابتها بكوفيد-19 في المجتمع من خلال رصد الرعاية الأولية والترميز السريري لحالات كوفيد-19 المحتملة المشار إليها في مسار الاحتواء
2,سوف يستخدم طبيبك هذا الدواء فقط إذا كانت الفوائد المتوقعة تفوق أي خطر محتمل على طفلك.,قد يطلب منك طبيبك استخدام هذا الدواء إذا كانت الفائدة المتوقعة تفوق أية مخاطر محتملة قد تؤثر على طفلك.
2,سيتحدث الطبيب إليك بشأن صحتك وسيرى المفاصل.,سيتحدث معك طبيبك عن صحتك وسوف يفحص مفاصلك.
2,جلوكاجون، يستخدم للسيطرة على نقص سكر الدم (انخفاض مستوى السكر في الدم).,جلوكاجون الذي يستعمل للسيطرة على انخفاض سكر الدم (سكر الدم المنخفض).
2,قد تصيب ما يصل إلى شخص واحد من بين كل 10 أشخاص,يمكن أن تصيب حتى 1 من 10 أشخاص
2,حدوث فجأة من الضعف أو شلل في الذراعين أو الساقين، صعوبة مفاجئة في الكلام، المشي، صعوبة في الإمساك بالأشياء أو صعوبة في التفكير، أي من ذلك قد يحدث بسبب نقص تدفق الدم في الأوعية الدموية في المخ.,وهي تشمل الحدوث المفاجئ لما يلي: ضعف أو شلل الذراعين أو الساقين، أو عدم القدرة على تحريك الذراعين أو الساقين، أو صعوبة مفاجئة في التحدث أو المشي أو إمساك الأشياء، أو صعوبة في التفكير. تحدث هذه الأعراض بسبب انخفاض الإمداد بالدم في الدماغ.
2,ابدئي في حقنة شرجية الأولى.,بدء الحقنة الشرجية الأولى.
2,إذا كنت تعاني من:,إذا كنت تعاني من :
2,من المهم أن تخبر طبيبك أو الصيدلي إذا كنت تتناول:,من المهمّ أن تُعلم الطبيب أو الصيدلي إذا كنت تأخذ:
2,إذا كنت تعاني من ضعف في وظائف الكلى.,إذا كان لديك نقص في وظيفة الكلى.
2,إذا كنتِ قد عانيتِ من تقلصات كانت قوية جداً أو طويلة في حمل سابق,إذا عانيتِ من تقلصات كانت قوية للغاية أو امتدت لفترات طويلة جدا في حالة حمل سابقة.
2,الوقاية من الحرائق,الإجراءات الوقائية المتعلقة بالحريق
2,سوف تكون في غرفتك بمفردك حتى تتناول أدوية السل لمدة أسبوعين إلى ثلاثة أسابيع أو حتى لا تصبح البلغم مصاباً.,سيتم عزلك لحين مرور ما بين أسبوعين إلى ثلاثة أسابيع على تناولك دواء السل أو حتى التأكد من عدم حمل البلغم للعدوى.
2,إذا كان طفلك في مرحلة مبكرة أو إذا كان لديه احتياجات خاصة، فتحدثي إلى طبيبك عن أمان طريقة السفر مع طفلك.,إذا كان طفلكم يعاني من مشاكل نقص النمو أو كان من أصحاب الهمم ممن لديهم احتياجات خاصة، فيُرجى إلى طبيبك حول الطريقة الأكثر أمانًا للتنقل مع طفلك.
2,يمكن استخدام نیزورال كریم إذا كنت حاملا أو مرضعة.,من الممكن استخدام نیزورال كریم إذا كنتِ حاملا أو مرضعة.
2,قد يحدث ذلك وخز أو وخز.,وقد يؤدي ذلك إلى الشعور بوخز أو لسع.
2,إذا كنت قد أصبت بنوبة قلبية خلال الشهر الأخير.,إذا تم إصابتك بنوبة قلبية خلال الشهر الماضي.
2,لا تتناول لجام في نفس الوقت مع أي من الأدوية التالية:,لا تقم بتناول لجام فى نفس وقت تناولك لأى من الأدوية الآتية:
2,التعافي بعد الولادة القيصرية,تعافيكِ بعد الولادة القيصرية
2,انخفاض وظائف الكلى,ضعف في وظائف الكلى
2,تعليمات الاستخدام:,تعليمات الاستعمال:
2,أخبر طبيبك بحيث يمكن فحص وظائف قلبك قبل وصف أوراتاب لك.,أخبر طبيبك، لإمكانية إجراء فحص وظائف القلب قبل أن يصف أوراتاب لك.
2,من النادر جدا أن تصبحي حاملاً أثناء استخدام ميرينا.,أنه من النادر جداً أن يحدث حمل أثناء استخدام ميرينا.
2,ضع كمية كافية من الكريم لتكوين طبقة رقيقة على الجلد المصاب والمناطق المحيطة.,• قم بوضع كمية كافية لعمل طبقة رقيقة على المنطقة المصابة والمنطقة المحيطة بها
2,ارتفاع مستويات الجلوكوز في الدم.,فرط سكر الدم مستويات مرتفعة من سكر الدم.
2,بعض النساء قد لا تظهر دوراتهن الشهرية أثناء استخدام ميرينا.,من الممكن لبعض النساء أن لا يحدث لديهن دورات طمث خلال استخدامهن ميرينا.
2,طفح جلدي، مشاكل في البلع أو التنفس، تورم في الشفتين، الوجه، الحلق أو اللسان.,طفح جلدي ، مشاكل في البلع أو التنفس ، تورم في الشفتين ، الوجه ، الحلق أو اللسان.
2,التنظير:,تنظير المثانة:
2,يُستخدم أوبتيزولين فقط كقطرة للعين.,تُستخدم أوبتيزولين كقطرة للعين فقط.
2,برد اليدين أو القدمين,برودة اليدين أو القدمين
2,بعض مضادات الهيستامين التي تُستخدم لعلاج حمى القش (مثل ديفينهيدرامين),بعض مضادات الهيستامين المستخدمة لعلاج حُمَّى القش (على سبيل المثال: دايفينهيدرامين).
2,التهاب الشعب الهوائية المزمن يتضمن تورم المسالك الهوائية الكبيرة والصغرى وممتلئة بالمخاط.,الالتهاب الشعبي المزمن ويشمل انتفاخ المسالك الهوائية الكبيرة والصغيرة وامتلائها بالمخاط.
2,إنك وحدك المسؤول عن تحديد ما إذا كنت قادرًا على القيادة أو أداء المهام الأخرى التي تتطلب مستوى عالٍ من التركيز.,أنت وحدك المسؤول عن تحديد ما إذا كان يصلح لك القيادة أو أداء المهام الأخرى التي تتطلب تركيزا عاليا.
2,بالنسبة للرجال، قد يلزم حلاقة شعر الصدر.,بالنسبة للرجال، قد يلزم حلق الشعر بمنطقة الصدر.
2,بعض المرضى قد يعانون من الآثار الجانبية التالية، ولكن من غير المعروف عدد مرات حدوثها,قد يعاني بعض المرضى من الآثار الجانبية التالية لكن معدل تكرارها غير معروف
2,إذا كنتِ حاملاً أو ترضعين رضاعة طبيعية، أو تعتقدين أنكِ قد تكونين حاملاً أو تخططين للحمل، فاستشيري طبيبك أو الصيدلي قبل تناول هذا الدواء.,"إذا كنت حامل أو مرضعة, تعتقدين بأنك حامل أو تخططين للحمل، استشيري طبيبك أو الصيدلاني قبل تناول هذا الدواء."
2,افتح قناة الأذن عن طريق سحب الأذن برفق إلى الخلف، أو سحب على منطقة الأذن لأسفل عند إعطاء هذا الدواء للطفل، ثم أدخلي الفوهة في الأذن المصابة وضع القطرات حسب نصيحة الطبيب.,أفتح قناة الأذن عن طریق سحب أذنك برفق لأعلى، أو إذا كنت تعطي ھذا العلاج لطفل قم بسحب الأذن برفق للأسفل، وضع فوھة العبوة داخل الأذن المصابة وضع الجرعة مثلما وصى الطبیب بھا.
2,انزع الغطاء البلاستيكي البرتقالي الموجود على طرف الزجاجة.,أزل الغطاء البلاستيكي البرتقالي من على رأس الزجاجة.
2,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,ينتج عن التحدث بصوت عالٍ رذاذ أكثر مما ينتج عن التحدث بشكل طبيعي.
2,يحتوي بيرجيتا على المادة الفعالة بيرتوزوماب ويستخدم لعلاج المرضى البالغين الذين يعانون من سرطان الثدي عندما:,يحتوي بيرجيتا على المادة الفعالة بيرتوزوماب وهو يستخدم لعلاج البالغين ممن يعانون من سرطان الثدي في الحالات التالية:
2,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,"ستجري التدريبات العسكرية المقررة لحلف شمال الأطلسي ""المدافع 2020"" في ألمانيا، وبولندا، ودول البلطيق، وهي أكبر مناورة حربية سيجريها الناتو منذ نهاية الحرب الباردة على نطاق ضيق."
2,تم اكتشاف الديفينهيدرامين في لبن الثدي، ولكن آثار هذا على الرضّع غير معروفة.,تم كتشاف دايفينهيدرامين  في لبن الثدي، ولكن تأثيره على الرضع الذين يرضعون من الثدي غير معروف.
2,كما هو الحال مع الأدوية الموضعية الأخرى، قد يؤدي الاستخدام لفترات طويلة إلى حدوث حساسية، في هذه الحالة، يجب إيقاف العلاج واستشارة الطبيب.,مثل الأدویة الموضعیة الأخرى، قد یؤدى الإستعمال لفترة طویلة إلى حدوث حساسیة، وفى ھذه الحالة یجب التوقف عن الإستعمال ومراجعة الطبیب.
2,"يستخدم عقار ميتوكسانترون ""إيبيفيه"" في علاج:","يُستخدم عقار ميتوكسانترون ""إيبيفيه"" في علاج الآتي:"
2,الأطفال والمراهقون الأكبر من 4 سنوات من العمر,الأطفال والمراهقون الأكبر من 4 سنوات
2,سوف يعتمد العلاج على نوع الطفيليات المكتشفة.,وسوف يعتمد العلاج على نوع الطفيلي الذي يتم اكتشافه.
2,الحمل والرضاعة الطبيعية والخصوبة,بالنسبة للحمل والرضاعة الطبيعية والخصوبة :
2,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,كان من المقرر عقد جميع الفعاليات الرياضية الكبرى، بما في ذلك مباريات دوري الدرجة الأولى لكرة القدم، خلف أبواب مغلقة حتى أبريل، ولكن في 9 مارس، عُلقت جميع الفاعليات الرياضية بالكامل لمدة شهر واحد على الأقل.
2,يُصيب المرء بالحمى التي تزيد درجة حرارتها عن 101 درجة فهرنهايت أو 38 درجة مئوية عند إصابتها بالفم.,إذا حدثت حمى تزيد درجة حرارتها عن 101 درجة فهرنهايت أو 38 درجة مئوية عند قياسها عن طريق الفم.
2,محلول لورينكس المُصنوع عن طريق الفم متوفر في زجاجات سعة 150 مل.,لورينكس هو شراب برتقالي اللون مع نكهة فواكهة مشكله ويعبا في زجاجة واحدة حجمها 150 مل .
2,ألم في الصدر، ضغط، أو ضيق,الشعور بألم أو ضغط أو ضيق في الصدر
2,خلال 3 أيام قبل وأثناء فترة الاختبار تجنب:,لمدة 3 أيام قبل فترة الاختبار وخلالها تجنب:
2,المادة الفعالة هي تيمولول ماليت، حيث أن ٥ ملغ/مل تيمولول يعادل ٦٫٨ ملغ/مل من ماليت التيمولول و ٢٫٥ ملغ/مل تيمولول يعادل ٣٫٤ ملغ/مل من ماليت التيمولول.,المادة الفعالة ھي مالیات التیمولول حیث أن ٦ ملجم/مل مالیات التیمولول ¸ ٥ ملجم/مل تیمولول تكافيء ۸ ۳ ملجم/مل مالیات ¸ ۲ملجم/مل تیمولول تكافيء ٤ ¸ و ٥ التیمولول.
2,أصيب بصعوبة في البقاء مستيقظاً عندما أجلس ثابتًا أو أشاهد التلفزيون أو أقرأ.,أجد صعوبة في البقاء مستيقظة عندما أجلس لمشاهدة التلفزيون أو للقراءة.
2,الاحمرار,احمرار الجلد.
2,لا تستخدم الحليب أو الماء المذاب.,لا تستخدم الحليب أو المياه الغازية.
2,الباكلوفين عبارة عن دواء يسترخ العضلات.,باكلوفين هو أحد الأدوية المُرخية للعضلات.
2,إذا نسيت استخدام كيراسال ٥٪ و ۱۰ ٪ مرھم,إذا نسیت إستخدام كیراسال ٥٪ و ۱۰ ٪ مرھم:
2,توقف النمو (غلق الصفيحات) ولا يكون لديك نقص هرمون النمو.,إذا توقفت عن النمو (المشاش المغلق) ولا تعاني من نقص في هرمون النمو.
2,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,العلاج الأساسي هو علاج داعم وللأعراض. تشمل الإجراءات الوقائية المُوصَى بها غسل اليدين، وتغطية الفم عند السعال، والحفاظ على التباعُد بين الأشخاص، والرصد، والعزل الذاتي لمَن يُشتبَه في إصابتهم.
2,الأطفال (أقل من 15 عامًا):,للأطفال (تحت 15 عاما):
2,الكريم للاستخدام الخارجي فقط.,هذا الكريم للإستعمال الخارجي فقط.
2,خذ المزيد من فترات الراحة أو النوم.,احصلي على فترات للراحة أو الغفوة بشكل متكرر.
2,الصداع المستمر مع أو بدون تشوش الرؤية (ارتفاع ضغط الدم الحميد داخل الجمجمة).,صداع مستمر مع أو بدون تغيم الرؤية (فرط ضغط الدم الحميد داخل القِحف).
2,استشر طبيبك قبل تناول هذا الدواء:,اسأل طبيبك قبل أن تتناول هذا الدواء
2,يمكنك تناول عقار توينستا مع الطعام أو بدونه.,يمكنكِ تناوُل عقار تونيستا مع الطعام أو بدونه.
